Order_ID,Order_Date,Ship_Date,Ship_Mode,Country_Region,City,State_Province,Postal_Code,Customer_Name,Product_Name,Quantity,Discount
999050,2018-01-01,3,Expedited,Mexico,Libertad,Sonora,83450,Melanie Seite,Xerox 203,25,0.26
249503,2018-01-01,30,Standard Class,United States,Knoxville,Tennessee,37939,Joni Blumstein,Staple-on labels,8,0.74
687128,2018-01-01,29,First Class,United States,Columbus,Georgia,31914,Neil Ducich,Oak,40,0.6
600144,2018-01-01,23,First Class,Canada,Lumby,British Columbia,P7L,John Huston,Eaton Premium Continuous-Feed Paper,69,0.16
637309,2018-01-01,1,Second Class,United States,Memphis,Tennessee,38126,Brian Dahlen,Hon Every-Day Series Multi-Task Chairs,74,0.63
597707,2018-01-01,6,First Class,United States,Jackson,Mississippi,39282,Robert Waldorf,Nu-Dell Float Frame 11 x 14 1/2,17,0.11
152692,2018-01-01,6,Second Class,United States,Allentown,Pennsylvania,18105,Charles McCrossin,Newell 32,20,0.74
319734,2018-01-01,9,Standard Class,Mexico,Reforma,Oaxaca,69818,George Bell,Crimson,95,0.51
166239,2018-01-01,18,Expedited,United States,Orlando,Florida,32819,Laurel Beltran,Aluminum Document Frame,49,0.2
311140,2018-01-01,3,Standard Class,Mexico,Revolucion,Veracruz Llave,93610,Ben Ferrer,Acme Kleen Earth Office Shears,60,0.31
116126,2018-01-01,24,Expedited,Canada,Blackfalds,Alberta,J5K,Peter BÃ¼hler,Assorted Sizes,60,0.7
436254,2018-01-01,15,Expedited,Canada,Catalina,Newfoundland and Labrador,B2V,Harry Greene,Wirebound Message Books,20,0.21
437502,2018-01-01,4,First Class,United States,Memphis,Tennessee,38126,Dave Poirier,SanDisk Cruzer 64 GB USB Flash Drive,67,0.17
580132,2018-01-01,29,Second Class,United States,Tacoma,Washington,98405,Sarah Foster,Deflect-o Glass Clear Studded Chair Mats,47,0.3
586921,2018-01-01,14,First Class,Canada,Belfast,Prince Edward Island,L6S,Claire Gute,Xerox 204,26,0.33
755645,2018-01-01,22,First Class,United States,Little Rock,Arkansas,72215,Christina VanderZanden,1040 sheets,25,0.31
817173,2018-01-01,29,First Class,Canada,Kingsey Falls,Québec,T8H,Anna HÃ¤berlin,Mat Size- 66 x 60,90,0.73
635478,2018-01-01,18,First Class,Canada,Farnham,Québec,J2N,Eleni McCrary,Swingline SM12-08 MicroCut Jam Free Shredder,97,0.65
78466,2018-01-01,6,First Class,United States,Baltimore,Maryland,21216,Edward Becker,Xerox 1960,53,0.44
713193,2018-01-01,8,Second Class,Mexico,Venustiano Carranza,Chiapas,30171,Laurel Workman,Bevis Round Conference Room Tables and Bases,80,0.35
835827,2018-01-01,28,Second Class,Mexico,Chapultepec,Coahuila De Zaragoza,25050,Andrew Gjertsen,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,63,0.49
634191,2018-01-01,3,Expedited,United States,Zephyrhills,Florida,33543,Bill Shonely,Metal Folding Chairs,33,0.6
197580,2018-01-01,1,Expedited,United States,Vancouver,Washington,98682,Nick Radford,Enermax Briskie RF Wireless Keyboard and Mouse Combo,44,0.24
318349,2018-01-01,22,Standard Class,Mexico,El Mirador,Veracruz Llave,93429,Dave Kipp,Rigid 75 Pt. Covers,100,0.68
692814,2018-01-01,7,Standard Class,United States,Lincoln,Nebraska,68517,Jas OCarroll,Dark Blue,94,0.51
963933,2018-01-01,4,Expedited,Canada,North Battleford,Saskatchewan,S9A,Todd Boyes,Mahogany,26,0.27
909023,2018-01-01,9,First Class,Canada,Lac du Bonnet,Manitoba,H4S,Matt Collins,Hon Multipurpose Stacking Arm Chairs,54,0.53
61226,2018-01-01,14,Second Class,United States,Kansas City,Kansas,66105,Raymond Buch,Fellowes Super Stor/Drawer,10,0.27
315265,2018-01-01,5,Standard Class,United States,Aurora,Colorado,80044,Charles McCrossin,Black,62,0.7
651950,2018-01-01,18,First Class,United States,Cincinnati,Ohio,45296,Vicky Freymann,Wirebound Four 2-3/4 x 5 Forms per Page,33,0.47
32522,2018-01-01,5,First Class,Canada,Kirkland,Québec,H9J,Shahid Shariari,4 x 5 1/4,90,0.61
316322,2018-01-01,19,Second Class,Mexico,Los Pinos,Veracruz Llave,93605,Maureen Gastineau,Hon 30 x 60 Table with Locking Drawer,65,0.22
958761,2018-01-01,10,Standard Class,United States,Sacramento,California,94291,Kristina Nunn,WD My Passport Ultra 2TB Portable External Hard Drive,26,0.14
231597,2018-01-01,25,Second Class,Canada,Melfort,Saskatchewan,B3H,Mike Gockenbach,Belkin 8 Outlet Surge Protector,62,0.07
22625,2018-01-01,20,Standard Class,United States,Gatesville,Texas,76598,Vicky Freymann,Wilson Jones 1 Hanging DublLock Ring Binders,58,0.71
98868,2018-01-01,28,First Class,Canada,Les Coteaux,Québec,J7X,Joni Sundaresam,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,80,0.47
939771,2018-01-01,7,Standard Class,United States,Paterson,New Jersey,07522,Brian Derr,Wilson Jones 1 Hanging DublLock Ring Binders,57,0.16
831705,2018-01-01,3,First Class,United States,Phoenix,Arizona,85010,Valerie Mitchum,Satellite Sectional Post Binders,9,0.3
918360,2018-01-01,14,Expedited,United States,Boca Raton,Florida,33499,Fred McMath,Motorola Droid Maxx,16,0.11
360313,2018-01-01,8,Second Class,United States,Albany,New York,12205,Michael Kennedy,Self-Adhesive Address Labels for Typewriters by Universal,22,0.23
411857,2018-01-01,16,Second Class,United States,New York City,New York,10270,Christopher Conant,Eldon Portable Mobile Manager,6,0.64
481015,2018-01-01,5,Expedited,United States,Charleston,West Virginia,25331,Tom Stivers,Ativa V4110MDD Micro-Cut Shredder,71,0.43
289141,2018-01-01,1,First Class,United States,Houston,Texas,77070,Harold Dahlen,Xerox 1985,81,0.29
144657,2018-01-01,8,First Class,United States,Boca Raton,Florida,33487,Zuschuss Carroll,Sauder Cornerstone Collection Library,38,0.04
669350,2018-01-01,1,Expedited,Mexico,La Esperanza,Tamaulipas,87076,Irene Maddox,Ativa MDM8000 8-Sheet Micro-Cut Shredder,47,0.59
619572,2018-01-01,25,Second Class,United States,Richmond,Virginia,23277,Thomas Seio,Sanford Liquid Accent Highlighters,54,0.41
445892,2018-01-01,22,Second Class,Mexico,San Jose,Coahuila De Zaragoza,26017,Natalie DeCherney,Xerox 1956,64,0.25
228533,2018-01-01,3,Expedited,Mexico,Lagunillas,Jalisco,49580,Max Ludwig,Rush Hierlooms Collection 1 Thick Stackable Bookcases,97,0.65
523213,2018-01-01,14,Expedited,Mexico,Obrera,Chihuahua,32050,Corey Catlett,5 3/6â€ x 11â€,90,0.29
308292,2018-01-01,8,Second Class,Canada,Duncan,British Columbia,V9L,Guy Phonely,Xerox 225,25,0.36
380930,2018-01-01,2,First Class,United States,Miami Beach,Florida,33141,Doug Jacobs,Replacement Belts,6,0.4
364481,2018-01-01,23,Expedited,United States,Las Vegas,Nevada,89178,Matt Hagelstein,Memorex Froggy Flash Drive 4 GB,65,0.55
286229,2018-01-01,28,Standard Class,United States,Denver,Colorado,80204,Ralph Kennedy,12/Box,94,0.62
265649,2018-01-01,26,Expedited,Canada,Miramichi,New Brunswick,L7G,Mary Zewe,Deflect-o Glass Clear Studded Chair Mats,34,0.58
242548,2018-01-01,27,Second Class,United States,Akron,Ohio,44321,Victoria Brennan,Nortel Networks T7316 E Nt8 B27,61,0.24
112817,2018-01-01,8,First Class,United States,Round Rock,Texas,78682,Kalyca Meade,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,92,0.43
681340,2018-01-01,12,Standard Class,Canada,Petrolia,Ontario,N0N,Larry Hughes,Cameo Buff Policy Envelopes,38,0.2
123876,2018-01-01,21,Expedited,United States,Oklahoma City,Oklahoma,73135,Tamara Willingham,Inter-Office Recycled Envelopes,77,0.22
137153,2018-01-01,7,Standard Class,Canada,Thompson,Manitoba,R8N,Christina VanderZanden,24-Hour Round Wall Clock,22,0.13
274055,2018-01-01,28,Second Class,United States,Austin,Texas,78732,Jonathan Doherty,JBL Micro Wireless Portable Bluetooth Speaker,86,0.21
778304,2018-01-01,21,Second Class,Mexico,Lazaro Cardenas,Mexico,55407,Katrina Edelman,SpineVue Locking Slant-D Ring Binders by Cardinal,42,0.58
684673,2018-01-01,1,Expedited,Mexico,La Paz,Oaxaca,71161,Gene McClure,"",83,0.74
246690,2018-01-01,6,Second Class,Mexico,Guadalupe Victoria,Puebla,75694,Alejandro Savely,GBC Twin Loop Wire Binding Elements,5,0.11
2980,2018-01-01,20,Standard Class,United States,Saint Louis,Missouri,63136,Brian Stugart,72h,78,0.23
638617,2018-01-01,9,Expedited,United States,Charlotte,North Carolina,28225,Jim Kriz,Xerox 1986,20,0.19
996943,2018-01-01,14,Second Class,United States,Paterson,New Jersey,07505,Doug Bickford,Ideal Clamps,90,0.65
44288,2018-01-01,24,Standard Class,Mexico,Jardin,Veracruz Llave,93439,Harold Ryan,Floor Stand,30,0.62
179896,2018-01-01,1,Expedited,United States,Beaufort,South Carolina,29905,Matt Collister,End Table with Drawer,77,0.74
708000,2018-01-01,3,Expedited,Mexico,Santa Cruz,Mexico,51462,Thomas Seio,Avery 480,56,0.51
954707,2018-01-01,13,Expedited,Canada,Napanee Downtown,Ontario,M5E,Carol Darley,Acco Hanging Data Binders,6,0.19
726529,2018-01-01,14,Standard Class,United States,Roanoke,Virginia,24034,Max Ludwig,GBC Standard Plastic Binding Systems Combs,22,0.61
86396,2018-01-01,11,Expedited,Mexico,Santa Maria,Coahuila De Zaragoza,25903,David Bremer,Motorola L804,99,0.01
298954,2018-01-01,18,Second Class,United States,Midland,Michigan,48670,Pierre Wener,Brother DCP1000 Digital 3 in 1 Multifunction Machine,19,0.24
976331,2018-01-01,15,Expedited,United States,Baltimore,Maryland,21216,Jennifer Patt,Studded,38,0.68
771630,2018-01-01,9,Second Class,Canada,Kimberley,British Columbia,V1A,Corey Catlett,Standard Lip,6,0.51
444460,2018-01-01,6,Second Class,Mexico,La Cruz,Guanajuato,36770,Lycoris Saunders,5000/Box,91,0.14
333114,2018-01-01,13,Second Class,Canada,Saint-Augustin,Québec,G5J,Roy Phan,Rigid 75 Pt. Covers,98,0.22
204852,2018-01-01,2,First Class,United States,Farmington,Michigan,48335,Cynthia Arntzen,Ultra Door Push Plate,99,0.1
479191,2018-01-01,18,First Class,United States,Richmond,Virginia,23285,Claire Gute,2 3/4 X 5,95,0.56
347486,2018-01-01,26,Standard Class,United States,Washington,District of Columbia,20238,Shaun Chance,Desktop,31,0.29
245135,2018-01-01,6,Expedited,United States,Kansas City,Missouri,64136,Cari Sayre,5 3/8â€ x 11â€,50,0.5
97107,2018-01-01,13,Second Class,United States,Dallas,Texas,75372,Sarah Foster,Fellowes Basic Home/Office Series Surge Protectors,21,0.62
947770,2018-01-01,21,Second Class,Canada,Vaudreuil-Dorion,Québec,J7W,Justin Ritter,GuestStacker Chair with Chrome Finish Legs,7,0.5
548281,2018-01-01,24,Expedited,United States,Washington,District of Columbia,20508,Mathew Reese,Avery Hi-Liter Fluorescent Desk Style Markers,96,0.52
605431,2018-01-01,30,Second Class,United States,Irvine,California,92619,Jennifer Halladay,Yellow,75,0.31
916992,2018-01-01,14,Second Class,United States,Los Angeles,California,90055,Nat Gilpin,Xerox 21,99,0.36
80160,2018-01-01,29,Second Class,Canada,Rosthern,Saskatchewan,B0L,Carol Darley,Logitech Wireless Touch Keyboard K400,86,0.5
33091,2018-01-01,12,First Class,Canada,Beauharnois,Québec,J6N,Joseph Airdo,BOSTON Ranger #55 Pencil Sharpener,35,0.07
526538,2018-01-01,28,Standard Class,Canada,Baie-Saint-Paul,Québec,G3Z,Raymond Buch,Eldon Fold N Roll Cart System,12,0.49
406642,2018-01-01,25,Standard Class,United States,Pittsburgh,Pennsylvania,15240,Ralph Ritter,Avery Recycled Flexi-View Covers for Binding Systems,75,0.23
175966,2018-01-01,24,First Class,United States,Fort Lauderdale,Florida,33330,Emily Grady,Epson Perfection V600 Photo Scanner,86,0.51
68842,2018-01-01,6,Standard Class,United States,Garden Grove,California,92844,Ritsa Hightower,Stacking Tray,63,0.43
44981,2018-01-01,5,First Class,United States,Miami,Florida,33169,Giulietta Weimer,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,52,0.72
207016,2018-01-01,10,First Class,United States,Waco,Texas,76705,Lindsay Castell,Xerox 1967,95,0.36
898046,2018-01-01,12,Expedited,United States,Memphis,Tennessee,38168,George Bell,DXL Angle-View Binders with Locking Rings by Samsill,72,0.08
558398,2018-01-01,21,Second Class,United States,Harrisburg,Pennsylvania,17126,Becky Martin,SanDisk Cruzer 16 GB USB Flash Drive,59,0.07
430824,2018-01-01,24,First Class,United States,New Bedford,Massachusetts,02745,Anne McFarland,Global Leather and Oak Executive Chair,41,0.16
324155,2018-01-01,25,Expedited,United States,Spartanburg,South Carolina,29305,Michael Paige,Black,23,0.65
772774,2018-01-01,26,First Class,United States,Minneapolis,Minnesota,55446,Brad Thomas,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,29,0.15
99108,2018-01-01,22,Expedited,Canada,St. Catharines,Ontario,L2P,Karen Seio,Hon 2111 Invitation Series Corner Table,88,0.73
22868,2018-01-01,18,Standard Class,Canada,Dauphin,Manitoba,R7N,Dave Hallsten,BOSTON Ranger #55 Pencil Sharpener,64,0.68
619818,2018-01-01,24,First Class,United States,Gatesville,Texas,76598,Laurel Beltran,HEPA Filter,7,0.37
7121,2018-01-01,24,First Class,United States,Elmira,New York,14905,Mike Pelletier,Avery 51,58,0.56
50580,2018-01-01,7,Standard Class,United States,Columbus,Ohio,43231,Sung Chung,DMI Arturo Collection Mission-style Design Wood Chair,17,0.27
405076,2018-01-01,24,Expedited,United States,San Jose,California,95160,Susan Pistek,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,44,0.71
797234,2018-01-01,30,Standard Class,United States,Cincinnati,Ohio,45228,Sean Christensen,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,40,0.41
956344,2018-01-01,3,Standard Class,Mexico,Independencia,Puebla,75780,Becky Martin,DAX Two-Tone Rosewood/Black Document Frame,81,0.36
205088,2018-01-01,19,Second Class,Mexico,Rancho Nuevo,Veracruz Llave,91275,Joel Eaton,TOPS Carbonless Receipt Book,12,0.03
654126,2018-01-01,20,First Class,Canada,Kirkland Lake,Ontario,P2N,Justin Ritter,72h,91,0.06
82684,2018-01-01,3,First Class,United States,Sioux City,Iowa,51105,Brad Eason,Avery Trapezoid Ring Binder,79,0.49
845172,2018-01-01,26,First Class,Canada,Mirabel,Québec,J5K,Matthew Grinstein,Squared Back,16,0.72
758464,2018-01-01,5,First Class,United States,Asheville,North Carolina,28805,Stuart Van,60w x 37-1/2d,84,0.05
816000,2018-01-01,17,Second Class,Canada,Calgary,Alberta,T3S,Brenda Bowman,Boston 16801 Nautilus Battery Pencil Sharpener,55,0.43
200681,2018-01-01,27,Expedited,Mexico,Fovissste,Guerrero,40400,Steven Ward,Xerox 1909,52,0.54
314107,2018-01-01,23,Expedited,United States,Memphis,Tennessee,38188,Ken Black,GBC DocuBind TL200 Manual Binding Machine,64,0.04
665346,2018-01-01,14,Standard Class,Canada,Sainte-Anne-des-Plaines,Québec,J4X,Yana Sorensen,Belkin 19 Vented Equipment Shelf,57,0.63
434911,2018-01-01,21,Expedited,United States,Louisville,Kentucky,40205,Jamie Kunitz,11 x 14 Size,92,0.24
275314,2018-01-01,15,Standard Class,Canada,Hearst,Ontario,S4A,Sanjit Jacobs,Lip 20 x 11 -90 Degree Angle,68,0.12
605197,2018-01-01,19,Expedited,United States,Buffalo,New York,14225,Doug Bickford,Dark Blue,64,0.04
344633,2018-01-01,29,Second Class,United States,Grand Rapids,Michigan,49505,Sean Christensen,OIC Thumb-Tacks,79,0.42
417222,2018-01-01,2,Expedited,United States,Peoria,Illinois,61635,Jack Lebron,Stockwell Push Pins,78,0.45
865055,2018-01-01,24,Second Class,United States,Denver,Colorado,80204,Daniel Lacy,Globe Weis Peel & Seel First Class Envelopes,55,0.73
590648,2018-01-01,14,Standard Class,Mexico,Magisterial,Chihuahua,32350,Ricardo Sperren,Easy-staple paper,97,0.58
773668,2018-01-01,27,Standard Class,United States,Tallahassee,Florida,32309,Kean Nguyen,Peel-Off China Markers,88,0.05
3365,2018-01-01,22,Standard Class,United States,Salinas,California,93907,Anthony Johnson,Faber Castell Col-Erase Pencils,54,0.5
786188,2018-01-01,10,Expedited,Canada,Duncan,British Columbia,V9L,Julia West,Memorex Froggy Flash Drive 4 GB,67,0.52
565236,2018-01-01,15,Standard Class,Mexico,Buenavista,Puebla,74770,Paul Knutson,Eldon Image Series Black Desk Accessories,94,0.09
163824,2018-01-01,1,Expedited,United States,Pinellas Park,Florida,34665,Dan Campbell,Advantus Push Pins,2,0.26
835215,2018-01-01,12,Expedited,Canada,Alma,Québec,N6J,Phillip Flathmann,Ultra Door Push Plate,82,0.11
939697,2018-01-01,12,First Class,United States,Rochester,New York,14619,Bill Overfelt,End Table,50,0.69
502482,2018-01-01,20,Expedited,Canada,Beloeil,Québec,J3H,Victoria Pisteka,Tennsco 6- and 18-Compartment Lockers,57,0.01
764792,2018-01-01,20,First Class,United States,Portland,Oregon,97229,Fred Harton,Wirebound Message Books,69,0.28
327654,2018-01-01,15,First Class,United States,Minneapolis,Minnesota,55458,Steve Nguyen,Hypercom P1300 Pinpad,31,0.7
810158,2018-01-01,8,Second Class,Canada,Taber,Alberta,T1G,Helen Wasserman,X-Base,3,0.06
897501,2018-01-01,12,Standard Class,United States,New York City,New York,10004,Christine Kargatis,Memo Book,10,0.25
712345,2018-01-01,19,Expedited,Canada,Lorraine,Québec,J7B,Frank Merwin,Hunt BOSTON Vista Battery-Operated Pencil Sharpener,48,0.5
438576,2018-01-01,13,Standard Class,United States,Baton Rouge,Louisiana,70826,Gary Hansen,Electrix Halogen Magnifier Lamp,99,0.0
891411,2018-01-01,29,Expedited,United States,Houston,Texas,77228,Olvera Toch,Plain White,57,0.54
354009,2018-01-01,2,Standard Class,Canada,Mont-Royal,Québec,H5B,Tim Taslimi,Stockwell Push Pins,100,0.23
288515,2018-01-01,29,Second Class,Canada,Saskatoon,Saskatchewan,S7W,Barry Weirich,4 1/2 x 4 1/2 x 1,16,0.41
215280,2018-01-01,4,Standard Class,Mexico,Ejidal,Durango,35069,Nat Carroll,Fellowes Premier Superior Surge Suppressor,52,0.54
194613,2018-01-01,11,Expedited,United States,Little Rock,Arkansas,72204,Maria Bertelson,Gray,41,0.66
664354,2018-01-01,9,First Class,Canada,Dollard-Des Ormeaux,Québec,H9P,Pete Armstrong,High Speed Automatic Electric Letter Opener,94,0.06
903963,2018-01-01,7,Expedited,Canada,Sainte-Marthe-sur-le-Lac,Québec,H9K,Duane Noonan,Vinyl Coated Wire Paper Clips in Organizer Box,1,0.44
762042,2018-01-01,25,First Class,United States,Portland,Oregon,97271,Anthony Rawles,GBC ProClick Punch Binding System,4,0.34
987133,2018-01-01,10,Standard Class,United States,Kansas City,Kansas,66105,Saphhira Shifley,Global Italian Leather Office Chair,11,0.19
663100,2018-01-01,3,Second Class,Mexico,Benito Juarez,Morelos,62214,Daniel Raglin,Global Super Steno Chair,4,0.62
419790,2018-01-01,16,Second Class,United States,Memphis,Tennessee,38150,Kalyca Meade,LF Elite 3D Dazzle Designer Hard Case Cover,65,0.19
122582,2018-01-01,19,First Class,United States,Alexandria,Virginia,22301,Craig Leslie,"",92,0.73
948072,2018-01-01,5,Second Class,Mexico,20 de Noviembre,Veracruz Llave,93828,Guy Armstrong,Crimson,45,0.42
326926,2018-01-01,18,First Class,Mexico,Pemex,Veracruz Llave,96684,Mike Vittorini,Ultimate White,35,0.14
775245,2018-01-01,15,Expedited,Mexico,Jose Maria Morelos,Veracruz Llave,94453,Joni Blumstein,REDIFORM Incoming/Outgoing Call Register,90,0.34
179313,2018-01-01,22,First Class,United States,San Francisco,California,94121,Pete Kriz,Belkin 6 Outlet Metallic Surge Strip,56,0.2
336821,2018-01-01,3,First Class,Mexico,Antonio Toledo Corro,Sinaloa,82153,Brooke Gillingham,Eureka The Boss Cordless Rechargeable Stick Vac,67,0.08
98961,2018-01-01,13,Expedited,United States,Kansas City,Missouri,64187,Brosina Hoffman,Xerox 209,29,0.46
287747,2018-01-01,7,First Class,United States,Richmond,Virginia,23237,Bruce Galang,Brother DCP1000 Digital 3 in 1 Multifunction Machine,82,0.5
103395,2018-01-01,16,Second Class,Mexico,Bellavista,Veracruz Llave,92736,Olvera Toch,Motorola L804,17,0.07
732649,2018-01-01,6,First Class,Canada,Adstock,Québec,G0N,Sam Craven,AT&T 841000 Phone,84,0.3
956852,2018-01-01,12,Expedited,Canada,Kugluktuk,Nunavut,T5C,Bobby Elias,HEPA Filter,70,0.64
797280,2018-01-01,29,Expedited,United States,Vancouver,Washington,98664,Jane Waco,Balt Split Level Computer Training Table,25,0.72
655503,2018-01-01,13,First Class,United States,Atlanta,Georgia,30351,Pete Armstrong,10/Pack,55,0.59
18046,2018-01-01,22,Standard Class,Canada,Summerland,British Columbia,H1V,Michael Nguyen,Ibico Hi-Tech Manual Binding System,41,0.35
870539,2018-01-01,8,Second Class,United States,Washington,District of Columbia,20051,Irene Maddox,12 Colored Short Pencils,25,0.03
216871,2018-01-01,7,Expedited,Canada,Unity,Saskatchewan,J8R,Bruce Galang,Desert Sand,74,0.36
713367,2018-01-01,22,Standard Class,Mexico,Del Valle,Veracruz Llave,92125,Jennifer Ferguson,GE 30524EE4,16,0.53
59745,2018-01-01,25,Second Class,United States,Toledo,Ohio,43656,Berenike Kampe,GE DSL Phone Line Filter,67,0.68
789126,2018-01-01,24,First Class,United States,Columbia,Missouri,65211,Trudy Glocke,Holmes Replacement Filter for HEPA Air Cleaner,53,0.33
541634,2018-01-01,29,First Class,United States,Vancouver,Washington,98682,Ken Black,Avery 490,3,0.54
367949,2018-01-01,6,Standard Class,Mexico,Independencia,Chiapas,30815,Nathan Cano,Executive Red,92,0.58
878382,2018-01-01,21,First Class,United States,Sacramento,California,94207,Aleksandra Gannaway,Executive Impressions 13 Clairmont Wall Clock,12,0.36
301688,2018-01-01,30,Standard Class,United States,Sacramento,California,94263,Karen Daniels,Plantronics Audio 478 Stereo USB Headset,8,0.6
257406,2018-01-01,10,Second Class,Canada,Albanel,Québec,G8M,Nathan Gelder,Surelock Post Binders,20,0.36
820288,2018-01-01,1,Expedited,Canada,New Glasgow,Nova Scotia,B2H,Dennis Bolton,Bretford Rectangular Conference Table Tops,97,0.74
356704,2018-01-01,21,Expedited,Canada,Prince Edward,Ontario,E9H,Lela Donovan,Strathmore Photo Frame Cards,40,0.16
388216,2018-01-01,18,Expedited,United States,Boston,Massachusetts,02114,Scott Williamson,Xerox 1884,29,0.03
490804,2018-01-01,7,Second Class,United States,Springfield,Massachusetts,01105,Grace Kelly,Trimflex Flexible Post Binders,78,0.07
